cruise,lon,lat
EN658,-71.4174,41.4291
EN658,-71.4212,41.3902
EN658,-71.4233,41.3512
EN658,-71.4242,41.3091
EN658,-71.4285,41.2667
EN658,-71.4362,41.2297
EN658,-71.4377,41.1972
EN658,-71.4213,41.1698
EN658,-71.4086,41.1441
EN658,-71.4154,41.115
EN658,-71.4193,41.0857
EN658,-71.4261,41.0567
EN658,-71.443,41.0301
EN658,-71.4641,41.0034
EN658,-71.5032,40.9747
EN658,-71.5495,40.9515
EN658,-71.5738,40.9187
EN658,-71.5882,40.8784
EN658,-71.6025,40.8378
EN658,-71.6305,40.8013
EN658,-71.6596,40.7644
EN658,-71.6889,40.7277
EN658,-71.7257,40.6956
EN658,-71.7716,40.6711
EN658,-71.817,40.6471
EN658,-71.8502,40.614
EN658,-71.8777,40.5771
EN658,-71.9058,40.5401
EN658,-71.9356,40.5042
EN658,-71.9654,40.4681
EN658,-71.9959,40.4293
EN658,-72.0263,40.3893
EN658,-72.0554,40.3493
EN658,-72.0835,40.31
EN658,-72.1119,40.2717
EN658,-72.1402,40.2341
EN658,-72.1691,40.1955
EN658,-72.1986,40.1567
EN658,-72.2283,40.1174
EN658,-72.2598,40.0806
EN658,-72.2925,40.045
EN658,-72.3256,40.009
EN658,-72.3567,39.9722
EN658,-72.3882,39.9361
EN658,-72.4205,39.9002
EN658,-72.4523,39.8634
EN658,-72.4826,39.827
EN658,-72.5128,39.79
EN658,-72.5423,39.7529
EN658,-72.5708,39.7146
EN658,-72.5763,39.6714
EN658,-72.596,39.6321
EN658,-72.6262,39.596
EN658,-72.6574,39.5594
EN658,-72.6954,39.5268
EN658,-72.7309,39.4948
EN658,-72.7511,39.4545
EN658,-72.7711,39.413
EN658,-72.7968,39.3733
EN658,-72.8276,39.3352
EN658,-72.8585,39.2967
EN658,-72.8882,39.2582
EN658,-72.9179,39.2205
EN658,-72.9482,39.183
EN658,-72.9783,39.1451
EN658,-73.0071,39.1069
EN658,-73.0218,39.0752
