cruise,lon,lat
EN696,-75.0281,35.4761
EN696,-75.0314,35.4353
EN696,-75.035,35.3938
EN696,-75.0383,35.3525
EN696,-75.0408,35.3108
EN696,-75.0434,35.2736
EN696,-75.0488,35.2426
EN696,-75.0527,35.211
EN696,-75.0558,35.1796
EN696,-75.0583,35.1477
EN696,-75.0686,35.1245
EN696,-75.0899,35.104
EN696,-75.1125,35.086
EN696,-75.1361,35.0677
EN696,-75.1604,35.0495
EN696,-75.1838,35.0318
EN696,-75.2083,35.0142
EN696,-75.2328,34.9965
EN696,-75.2636,34.9852
EN696,-75.2977,34.9767
EN696,-75.3324,34.9679
EN696,-75.3675,34.9588
EN696,-75.4027,34.9496
EN696,-75.4456,34.9315
EN696,-75.4922,34.9111
EN696,-75.5368,34.8885
EN696,-75.5754,34.8596
EN696,-75.6134,34.8293
EN696,-75.6509,34.7983
EN696,-75.6888,34.7677
EN696,-75.7273,34.7384
EN696,-75.7641,34.709
EN696,-75.7995,34.681
EN696,-75.8342,34.6532
EN696,-75.8681,34.6258
EN696,-75.8992,34.5996
EN696,-75.9315,34.5742
EN696,-75.9649,34.5491
EN696,-75.9984,34.5234
EN696,-76.0312,34.4974
EN696,-76.0653,34.4701
EN696,-76.0997,34.4422
EN696,-76.1343,34.4138
EN696,-76.1689,34.3848
EN696,-76.2031,34.356
EN696,-76.237,34.3274
EN696,-76.272,34.2983
EN696,-76.3067,34.2683
EN696,-76.3411,34.2374
EN696,-76.3759,34.2074
EN696,-76.4108,34.1772
EN696,-76.4469,34.148
EN696,-76.4845,34.1197
EN696,-76.5219,34.0907
EN696,-76.5607,34.0634
EN696,-76.5994,34.0361
EN696,-76.6378,34.009
EN696,-76.6766,33.9819
EN696,-76.7149,33.9545
EN696,-76.7524,33.9272
EN696,-76.7897,33.8995
EN696,-76.8261,33.8704
EN696,-76.86,33.8407
EN696,-76.8944,33.8106
EN696,-76.929,33.7805
EN696,-76.9639,33.7512
EN696,-76.9988,33.7217
EN696,-77.0327,33.6921
EN696,-77.0658,33.6628
EN696,-77.0986,33.6337
EN696,-77.1315,33.6048
EN696,-77.1673,33.5779
EN696,-77.2023,33.5519
EN696,-77.238,33.5253
EN696,-77.274,33.498
EN696,-77.3097,33.4698
EN696,-77.3472,33.4426
EN696,-77.384,33.4151
EN696,-77.4214,33.3885
EN696,-77.4581,33.3623
EN696,-77.4978,33.339
EN696,-77.5389,33.3154
EN696,-77.5796,33.2923
EN696,-77.6208,33.268
EN696,-77.6611,33.2443
EN696,-77.701,33.2209
EN696,-77.7417,33.1966
EN696,-77.7819,33.1718
EN696,-77.8214,33.1486
EN696,-77.8629,33.1251
EN696,-77.9055,33.1014
EN696,-77.9474,33.076
EN696,-77.9895,33.0502
EN696,-78.0313,33.0238
EN696,-78.074,32.9986
EN696,-78.1167,32.9735
EN696,-78.1554,32.9457
EN696,-78.1943,32.9185
EN696,-78.2339,32.8914
EN696,-78.2725,32.8635
EN696,-78.3092,32.8387
EN696,-78.3436,32.8142
EN696,-78.3797,32.7921
EN696,-78.4201,32.7739
EN696,-78.454,32.7485
EN696,-78.4905,32.7188
EN696,-78.5269,32.6875
EN696,-78.5638,32.6553
EN696,-78.6003,32.6265
EN696,-78.6379,32.6016
EN696,-78.6737,32.5781
EN696,-78.7091,32.5544
EN696,-78.7442,32.5291
EN696,-78.7812,32.5031
EN696,-78.8197,32.4752
EN696,-78.857,32.4453
EN696,-78.8926,32.4143
EN696,-78.9309,32.3857
EN696,-78.9699,32.3569
EN696,-79.0109,32.3291
EN696,-79.0523,32.3023
EN696,-79.0927,32.2752
EN696,-79.1402,32.2612
EN696,-79.1771,32.2311
EN696,-79.2016,32.1916
